"Compound","Compound ID","Accepted?","Adducts","Formula","Score","Fragmentation Score","Mass Error (ppm)","Isotope Similarity","Theoretical Isotope Distribution","Link","Description","Neutral mass (Da)","m/z","Charge","Retention time (min)","Max Fold Change"
"8.72_294.1826n","CSID3105",,"M-H, 2M-H, M+Cl","C17H26O4","50.7","65.9","-1.70044471607099","89.6600587750535","100 - 18.8 - 2.5 - 0.248","http://nonlinear.com/redirect/outbound?p=chemspider&param=3105","Embelin","294.182604757894","293.175328325894","1","8.71561666666667","8.55560508844"
"8.72_294.1826n","CSID390833",,"M-H, 2M-H, M+Cl","C17H26O4","41.3","18.7","-1.70044471607099","89.6600587750535","100 - 18.8 - 2.5 - 0.248","http://nonlinear.com/redirect/outbound?p=chemspider&param=390833","2-[(3aR,5aS,8R,9aR)-3a,5a-Dimethyl-5,5a,6,7,8,9-hexahydro-3aH-furo[3,2-c][2]benzofuran-8-yl]-2-propanyl acetate","294.182604757894","293.175328325894","1","8.71561666666667","8.55560508844"
"8.72_294.1826n","CSID391126",,"M-H, 2M-H, M+Cl","C17H26O4","37.5","0","-1.70044471607099","89.6600587750535","100 - 18.8 - 2.5 - 0.248","http://nonlinear.com/redirect/outbound?p=chemspider&param=391126","(+)-[6]-Gingerol","294.182604757894","293.175328325894","1","8.71561666666667","8.55560508844"
"8.75_360.2503n","CSID61886",,"M+Cl, M+FA-H, M-H","C22H36O2Si","37.3","0","5.14139663610573","92.3341534819095","100 - 29.4 - 7.82 - 1.29 - 0.147","http://nonlinear.com/redirect/outbound?p=chemspider&param=61886","Silandrone","360.250296180138","395.219697480138","1","8.75085","7.07163256218581"
"0.27_426.0344n","CSID17339240",,"M+Cl, M+FA-H","C12H18CaO14","29.5","0","4.94004487397848","53.1376139504795","100 - 13.7 - 4.42 - 0.658 - 2.26 - 0.309 - 0 - 0 - 0.194","http://nonlinear.com/redirect/outbound?p=chemspider&param=17339240","Calcium (2R)-2-[(1S)-1,2-dihydroxyethyl]-4-hydroxy-5-oxo-2,5-dihydro-3-furanolate hydrate (1:2:2)","426.034361618467","471.033406509657","1","0.265","Infinity"
"0.27_270.0098n","CSID389259",,"M+Cl, M+FA-H","C9H6N2O8","34","0","-9.68983569606764","80.5448350703345","100 - 10.8 - 2.18 - 0.193","http://nonlinear.com/redirect/outbound?p=chemspider&param=389259","3-(4-Hydroxy-3,5-dinitrophenyl)-2-oxopropanoic acid","270.009804624005","304.979205924005","1","0.265","Infinity"
"0.27_270.0098n","CSID390187",,"M+Cl, M+FA-H","C7H14N2O4Se","19.7","0.399","-7.65290795438758","6.43941893556635","1.78 - 0.154 - 18.8 - 16.9 - 49.2 - 4.3 - 100 - 8.6 - 18.6 - 1.59 - 0.207","http://nonlinear.com/redirect/outbound?p=chemspider&param=390187","(2S)-2-Amino-4-{[(2R)-2-amino-2-carboxyethyl]selanyl}butanoic acid","270.009804624005","304.979205924005","1","0.265","Infinity"
"0.27_270.0098n","CSID88693",,"M+Cl, M+FA-H","C7H14N2O4Se","19.7","0.399","-7.65290795438758","6.43941893556635","1.78 - 0.154 - 18.8 - 16.9 - 49.2 - 4.3 - 100 - 8.6 - 18.6 - 1.59 - 0.207","http://nonlinear.com/redirect/outbound?p=chemspider&param=88693","2-Amino-4-[(2-amino-2-carboxyethyl)selanyl]butanoic acid","270.009804624005","304.979205924005","1","0.265","Infinity"
"0.30_306.0300n","CSID389929",,"M-H, 2M-H","C13H10N2O5S","35.2","0","-3.47060519234206","79.8989582480125","100 - 15.9 - 6.73 - 0.9 - 0.134","http://nonlinear.com/redirect/outbound?p=chemspider&param=389929","4-carboxy-4'-sulfoazobenzene","306.029973887097","611.040427201287","1","0.30025","Infinity"
"3.25_130.0621n","CSID12791",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=12791","(Hydroxyethyl)methacrylate","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID13865426",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=13865426","Ethyl acetoacetate","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID140384",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=140384","2-ketocaproic acid","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID17383",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=17383","5-Oxohexanoic acid","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID388419",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=388419","(3S)-3-Methyl-2-oxopentanoic acid","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID388488",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=388488","(3R)-3-Hydroxy-4,4-dimethyldihydro-2(3H)-furanone","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID388729",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=388729","3-Oxohexanoic acid","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID388982",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=388982","7-Hydroxy-2-oxepanone","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID389038",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=389038","4-Methyl-3-oxopentanoic acid","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID389709",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=389709","(R)-3-methyl-2-oxovaleric acid","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID389748",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=389748","6-Oxohexanoic acid","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID391345",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=391345","3-Hydroxy-2-oxepanone","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID46",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=46","UNII:787T50HCIV","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID69",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=69","Ketoleucine","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"6.28_180.0420n","CSID1266077",,"M-H, M+FA-H","C9H8O4","38.4","0","-1.58707780967488","93.6700613319403","100 - 9.98 - 1.27","http://nonlinear.com/redirect/outbound?p=chemspider&param=1266077","cis-caffeic acid","180.041966258937","225.043389198686","1","6.28041666666667","239.07238127956"
"6.28_180.0420n","CSID2157",,"M-H, M+FA-H","C9H8O4","38.4","0","-1.58707780967488","93.6700613319403","100 - 9.98 - 1.27","http://nonlinear.com/redirect/outbound?p=chemspider&param=2157","Aspirin","180.041966258937","225.043389198686","1","6.28041666666667","239.07238127956"
"6.28_180.0420n","CSID4445343",,"M-H, M+FA-H","C9H8O4","38.4","0","-1.58707780967488","93.6700613319403","100 - 9.98 - 1.27","http://nonlinear.com/redirect/outbound?p=chemspider&param=4445343","trans-2,3-Dihydroxycinnamic acid","180.041966258937","225.043389198686","1","6.28041666666667","239.07238127956"
"6.28_180.0420n","CSID4885625",,"M-H, M+FA-H","C5H11NO4P+","38","0","-0.315154551239565","90.5510429695385","100 - 6.05 - 0.975","http://nonlinear.com/redirect/outbound?p=chemspider&param=4885625","[(3S)-3-Amino-3-carboxypropyl](hydroxymethyl)oxophosphonium","180.041966258937","225.043389198686","1","6.28041666666667","239.07238127956"
"6.28_180.0420n","CSID552441",,"M-H, M+FA-H","C9H8O4","38.4","0","-1.58707780967488","93.6700613319403","100 - 9.98 - 1.27","http://nonlinear.com/redirect/outbound?p=chemspider&param=552441","p-Hydroxyphenylpyruvic acid","180.041966258937","225.043389198686","1","6.28041666666667","239.07238127956"
"6.28_180.0420n","CSID600426",,"M-H, M+FA-H","C9H8O4","38.4","0","-1.58707780967488","93.6700613319403","100 - 9.98 - 1.27","http://nonlinear.com/redirect/outbound?p=chemspider&param=600426","trans-caffeic acid","180.041966258937","225.043389198686","1","6.28041666666667","239.07238127956"
"6.28_180.0420n","CSID954",,"M-H, M+FA-H","C9H8O4","38.4","0","-1.58707780967488","93.6700613319403","100 - 9.98 - 1.27","http://nonlinear.com/redirect/outbound?p=chemspider&param=954","4-Hydroxyphenylpyruvate","180.041966258937","225.043389198686","1","6.28041666666667","239.07238127956"
"4.87_170.0938n","CSID75385",,"M-H, 2M-H","C9H14O3","37.7","0","-3.06221076896048","91.9051752644225","100 - 10 - 1.06","http://nonlinear.com/redirect/outbound?p=chemspider&param=75385","2-(Diethoxymethyl)furan","170.093778135406","339.164533269297","1","4.87415","104.846977711808"
"7.41_240.0996n","CSID94711",,"M-H2O-H, M-H","C13H12N4O","36.7","0","-6.06621288232366","90.6515292506339","100 - 15.7 - 1.36","http://nonlinear.com/redirect/outbound?p=chemspider&param=94711","N-Hydroxy-1-methyl-6-phenyl-1H-imidazo[4,5-b]pyridin-2-amine","240.099648495584","239.126869493025","1","7.40626666666667","6.10119813506967"
"7.57_344.1139n","CSID19878",,"M-H2O-H, M+Cl","C16H16N4O5","37.8","0","5.44778614389365","95.1976040209224","100 - 19.1 - 2.76 - 0.295","http://nonlinear.com/redirect/outbound?p=chemspider&param=19878","nifurquinazol","344.113935648918","325.096094528918","1","7.57213333333333","1149.16110796396"
"7.71_294.1838n","CSID3105",,"M-H, 2M-H","C17H26O4","41.9","20.4","2.2466383442994","91.7604420497441","100 - 18.8 - 2.5 - 0.248","http://nonlinear.com/redirect/outbound?p=chemspider&param=3105","Embelin","294.183765923044","293.176489491044","1","7.71156666666667","647.441416395012"
"7.71_294.1838n","CSID390833",,"M-H, 2M-H","C17H26O4","37.8","0","2.2466383442994","91.7604420497441","100 - 18.8 - 2.5 - 0.248","http://nonlinear.com/redirect/outbound?p=chemspider&param=390833","2-[(3aR,5aS,8R,9aR)-3a,5a-Dimethyl-5,5a,6,7,8,9-hexahydro-3aH-furo[3,2-c][2]benzofuran-8-yl]-2-propanyl acetate","294.183765923044","293.176489491044","1","7.71156666666667","647.441416395012"
"7.71_294.1838n","CSID391126",,"M-H, 2M-H","C17H26O4","41.9","20.4","2.2466383442994","91.7604420497441","100 - 18.8 - 2.5 - 0.248","http://nonlinear.com/redirect/outbound?p=chemspider&param=391126","(+)-[6]-Gingerol","294.183765923044","293.176489491044","1","7.71156666666667","647.441416395012"
"7.87_382.1958n","CSID30791608",,"M-H, M+FA-H","C20H30O7","37","0","-8.84027390735045","94.8249933272438","100 - 22.2 - 3.8 - 0.478","http://nonlinear.com/redirect/outbound?p=chemspider&param=30791608","(1R,2R,6R,7R,8S,11S,12R)-2,6,8,12-Tetrahydroxy-4-(1-hydroxy-2-propanyl)-3,7,11-trimethyl-13-oxatetracyclo[5.5.3.0~1,8~.0~2,6~]pentadec-3-en-14-one","382.195779254756","381.188502822756","1","7.86863333333333","6.87965667225198"
"7.87_382.1958n","CSID30791611",,"M-H, M+FA-H","C20H30O7","37","0","-8.84027390735045","94.8249933272438","100 - 22.2 - 3.8 - 0.478","http://nonlinear.com/redirect/outbound?p=chemspider&param=30791611","(2S,5S,6R,7R,9S,10S,11S)-2,6,9,11-Tetrahydroxy-11-isopropyl-1,5,10-trimethyl-8-oxatetracyclo[7.4.1.1~7,10~.0~2,7~]pentadecane-13,15-dione","382.195779254756","381.188502822756","1","7.86863333333333","6.87965667225198"
"7.87_382.1958n","CSID4940796",,"M-H, M+FA-H","C24H30O2S","37.6","0","-2.29134722251444","90.6594550627342","100 - 27.2 - 8.48 - 1.6 - 0.223","http://nonlinear.com/redirect/outbound?p=chemspider&param=4940796","Sumarotene","382.195779254756","381.188502822756","1","7.86863333333333","6.87965667225198"
"8.21_424.1762n","CSID27005",,"M-H, M+Cl","C18H33ClN2O5S","31.9","0","-8.57032308783997","68.9359283039619","100 - 21.6 - 39.7 - 8.2 - 2.67 - 0.439","http://nonlinear.com/redirect/outbound?p=chemspider&param=27005","Methyl (5R)-5-[(1S)-2-chloro-1-{[(4R)-1-methyl-4-propyl-L-prolyl]amino}propyl]-1-thio-beta-L-arabinopyranoside","424.176235641458","423.168959209458","1","8.20918333333333","95.0484499265692"
"8.21_424.1762n","CSID393915",,"M-H, M+Cl","C18H33ClN2O5S","31.9","0","-8.57032308783997","68.9359283039619","100 - 21.6 - 39.7 - 8.2 - 2.67 - 0.439","http://nonlinear.com/redirect/outbound?p=chemspider&param=393915","Clindamycin","424.176235641458","423.168959209458","1","8.20918333333333","95.0484499265692"
"8.21_424.1762n","CSID4445089",,"M-H, M+Cl","C21H28O9","37.4","0","6.82655222548197","94.6210674238483","100 - 23.4 - 4.46 - 0.617","http://nonlinear.com/redirect/outbound?p=chemspider&param=4445089","(1R,2S)-2-Hydroxycyclohexyl 2-O-[(2E)-3-(4-hydroxyphenyl)-2-propenoyl]-beta-D-glucopyranoside","424.176235641458","423.168959209458","1","8.20918333333333","95.0484499265692"
"8.21_424.1762n","CSID61671",,"M-H, M+Cl","C21H28ClN2O5","34.4","0","-0.656232800843431","72.6817316184604","100 - 24 - 35.7 - 8.1 - 1.25 - 0.146","http://nonlinear.com/redirect/outbound?p=chemspider&param=61671","N-{4-[2-(diméthylamino)éthoxy]benzyl}-3,4,5-triméthoxybenzamide chlorhydrate","424.176235641458","423.168959209458","1","8.20918333333333","95.0484499265692"
"8.34_268.0966n","CSID16272",,"M-H2O-H, M-H","C14H12N4O2","38.9","0","1.97591550703791","97.0723624546143","100 - 16.8 - 1.74 - 0.135","http://nonlinear.com/redirect/outbound?p=chemspider&param=16272","Disperse Blue 1","268.096568735121","267.091432858306","1","8.33981666666667","48.7148727734496"
"8.34_268.0966n","CSID4087",,"M-H2O-H, M-H","C13H17ClN2O2","33.5","0","-4.85369346330856","73.1525418558852","100 - 15.1 - 33.4 - 4.92 - 0.475","http://nonlinear.com/redirect/outbound?p=chemspider&param=4087","Moclobemide","268.096568735121","267.091432858306","1","8.33981666666667","48.7148727734496"
"8.41_460.2479n","CSID62148",,"M-H, M+Cl","C26H36O7","36.3","0","3.92687121106219","85.9943247541915","100 - 28.8 - 5.43 - 0.769","http://nonlinear.com/redirect/outbound?p=chemspider&param=62148","hydrocortisone aceponate","460.247901327137","495.237663703879","1","8.4103","437.846255969869"
"8.49_324.1849n","CSID21242832",,"M-H, M+Cl","C20H24N2O2","35.8","0","3.50701081013548","83.0378742211878","100 - 22.7 - 2.87 - 0.262","http://nonlinear.com/redirect/outbound?p=chemspider&param=21242832","(9S)-6'-Methoxycinchonan-9-ol","324.18491391601","359.233007276851","1","8.48806666666667","14.3600550587049"
"8.49_324.1849n","CSID389879",,"M-H, M+Cl","C20H24N2O2","35.8","0","3.50701081013548","83.0378742211878","100 - 22.7 - 2.87 - 0.262","http://nonlinear.com/redirect/outbound?p=chemspider&param=389879","(4beta,8alpha,9R)-6'-Methoxycinchonan-9-ol","324.18491391601","359.233007276851","1","8.48806666666667","14.3600550587049"
"8.49_324.1849n","CSID389880",,"M-H, M+Cl","C20H24N2O2","35.8","0","3.50701081013548","83.0378742211878","100 - 22.7 - 2.87 - 0.262","http://nonlinear.com/redirect/outbound?p=chemspider&param=389880","Quinidine","324.18491391601","359.233007276851","1","8.48806666666667","14.3600550587049"
"8.49_324.1849n","CSID391852",,"M-H, M+Cl","C20H24N2O2","35.8","0","3.50701081013548","83.0378742211878","100 - 22.7 - 2.87 - 0.262","http://nonlinear.com/redirect/outbound?p=chemspider&param=391852","(+)-Sceletium A4","324.18491391601","359.233007276851","1","8.48806666666667","14.3600550587049"
"8.49_324.1849n","CSID4444714",,"M-H, M+Cl","C20H24N2O2","36.5","3.54","3.50701081013548","83.0378742211878","100 - 22.7 - 2.87 - 0.262","http://nonlinear.com/redirect/outbound?p=chemspider&param=4444714","Affinine","324.18491391601","359.233007276851","1","8.48806666666667","14.3600550587049"
"8.49_324.1849n","CSID8231",,"M-H, M+Cl","C20H24N2O2","35.8","0","3.50701081013548","83.0378742211878","100 - 22.7 - 2.87 - 0.262","http://nonlinear.com/redirect/outbound?p=chemspider&param=8231","(8alpha,9R)-6'-Methoxycinchonan-9-ol","324.18491391601","359.233007276851","1","8.48806666666667","14.3600550587049"
"8.47_448.1433n","CSID59280",,"M-H, 2M-H","C25H24N2O4S","37.3","0","-5.26727393267975","92.6987284633939","100 - 29 - 9.4 - 1.88 - 0.291","http://nonlinear.com/redirect/outbound?p=chemspider&param=59280","Pamicogrel","448.143330493884","447.136054061884","1","8.47198333333333","Infinity"
"8.46_312.1813n","CSID391637",,"M-H, 2M-H","C19H24N2O2","33.4","0","-8.02693169302778","75.8533712017097","100 - 21.6 - 2.64 - 0.234","http://nonlinear.com/redirect/outbound?p=chemspider&param=391637","(2beta,7beta,17R,20beta,21alpha)-2,7,19,20-Tetrahydro-7,17-cyclosarpagan-17,21-diol","312.181271122146","311.173994690146","1","8.46316666666667","436.539754225549"
"8.46_312.1813n","CSID4722",,"M-H, 2M-H","C19H24N2O2","33.4","0","-8.02693169302778","75.8533712017097","100 - 21.6 - 2.64 - 0.234","http://nonlinear.com/redirect/outbound?p=chemspider&param=4722","Praziquantel","312.181271122146","311.173994690146","1","8.46316666666667","436.539754225549"
"8.57_422.2858n","CSID144231",,"M-H, M+Cl","C28H38O3","34.6","0","8.74265818082745","82.8406719907539","100 - 30.8 - 5.21 - 0.629","http://nonlinear.com/redirect/outbound?p=chemspider&param=144231","RS 3268R","422.285795868091","457.261183764852","1","8.56736666666667","203.055251851878"
"9.02_200.1313n","CSID25948485",,"M+Cl, 2M-H","C13H16N2","30","0","-0.148762591581383","50.3771098129154","100 - 15 - 1.04","http://nonlinear.com/redirect/outbound?p=chemspider&param=25948485","2-[(1S)-1-(2,3-Dimethylphenyl)ethyl]-1H-imidazole","200.131318227942","399.227815632329","1","9.02091666666667","7.9659532745149"
"9.02_200.1313n","CSID4470605",,"M+Cl, 2M-H","C13H16N2","30","0","-0.148762591581383","50.3771098129154","100 - 15 - 1.04","http://nonlinear.com/redirect/outbound?p=chemspider&param=4470605","Dexmedetomidine","200.131318227942","399.227815632329","1","9.02091666666667","7.9659532745149"
"9.02_200.1313n","CSID5226",,"M+Cl, 2M-H","C13H16N2","30","0","-0.148762591581383","50.3771098129154","100 - 15 - 1.04","http://nonlinear.com/redirect/outbound?p=chemspider&param=5226","Tetrahydrozoline","200.131318227942","399.227815632329","1","9.02091666666667","7.9659532745149"
"9.02_200.1313n","CSID61868",,"M+Cl, 2M-H","C13H16N2","30","0","-0.148762591581383","50.3771098129154","100 - 15 - 1.04","http://nonlinear.com/redirect/outbound?p=chemspider&param=61868","Medetomidine","200.131318227942","399.227815632329","1","9.02091666666667","7.9659532745149"
"9.08_262.1670n","CSID30791151",,"M+Cl, M+FA-H","C15H22N2O2","37","0","-4.36061476073949","90.2160963086004","100 - 17.3 - 1.82 - 0.142","http://nonlinear.com/redirect/outbound?p=chemspider&param=30791151","2-Hydroxy-5,6-didehydrospartein-10-one","262.166977785822","307.158615880523","1","9.0826","12.2732471605093"
"9.08_262.1670n","CSID31343",,"M+Cl, M+FA-H","C15H22N2O2","38","4.61","-4.36061476073949","90.2160963086004","100 - 17.3 - 1.82 - 0.142","http://nonlinear.com/redirect/outbound?p=chemspider&param=31343","3,4-Dimethoxy-N-(1-methyl-2-pyrrolidinylidene)benzeneethanamine","262.166977785822","307.158615880523","1","9.0826","12.2732471605093"
"9.08_262.1670n","CSID391245",,"M+Cl, M+FA-H","C15H22N2O2","37","0","-4.36061476073949","90.2160963086004","100 - 17.3 - 1.82 - 0.142","http://nonlinear.com/redirect/outbound?p=chemspider&param=391245","(7alpha)-2-Hydroxy-5,6-didehydrospartein-10-one","262.166977785822","307.158615880523","1","9.0826","12.2732471605093"
"9.08_262.1670n","CSID64750",,"M+Cl, M+FA-H","C15H22N2O2","40.6","17.6","-4.36061476073949","90.2160963086004","100 - 17.3 - 1.82 - 0.142","http://nonlinear.com/redirect/outbound?p=chemspider&param=64750","Mepindolol","262.166977785822","307.158615880523","1","9.0826","12.2732471605093"
"9.12_300.2652n","CSID12003",,"M-H2O-H, M-H","C18H36O3","42.1","20.4","-4.1430744657714","94.7056163389827","100 - 20 - 2.51 - 0.236","http://nonlinear.com/redirect/outbound?p=chemspider&param=12003","(R)-10-hydroxyoctadecanoic acid","300.265204973742","299.228910237242","1","9.11783333333333","28.4956259900223"
"9.12_300.2652n","CSID388921",,"M-H2O-H, M-H","C18H36O3","41","15.1","-4.1430744657714","94.7056163389827","100 - 20 - 2.51 - 0.236","http://nonlinear.com/redirect/outbound?p=chemspider&param=388921","(R)-2-hydroxyoctadecanoic acid","300.265204973742","299.228910237242","1","9.11783333333333","28.4956259900223"
"9.12_300.2652n","CSID388923",,"M-H2O-H, M-H","C18H36O3","41","15.1","-4.1430744657714","94.7056163389827","100 - 20 - 2.51 - 0.236","http://nonlinear.com/redirect/outbound?p=chemspider&param=388923","(S)-2-Hydroxyoctadecanoic acid","300.265204973742","299.228910237242","1","9.11783333333333","28.4956259900223"
"9.16_242.2238n","CSID13249",,"M-H2O-H, M+Cl","C15H30O2","37.7","0","-3.31618856556733","92.6079391477394","100 - 16.6 - 1.71 - 0.131","http://nonlinear.com/redirect/outbound?p=chemspider&param=13249","Pentadecanoic acid","242.223775737621","277.17993272216","1","9.16035","31.5862877907645"
"9.16_242.2238n","CSID20368",,"M-H2O-H, M+Cl","C15H30O2","37.7","0","-3.31618856556733","92.6079391477394","100 - 16.6 - 1.71 - 0.131","http://nonlinear.com/redirect/outbound?p=chemspider&param=20368","UNII:TP0OL0Z8US","242.223775737621","277.17993272216","1","9.16035","31.5862877907645"
"9.19_424.2155n","CSID31620",,"M-H2O-H, M+FA-H","C28H28N2O2","48.1","49.9","1.07069086423464","92.010220343412","100 - 31.4 - 5.18 - 0.595","http://nonlinear.com/redirect/outbound?p=chemspider&param=31620","difenoxin","424.215542203219","469.244913289522","1","9.18678333333333","6.18705030916492"
"9.21_264.1389n","CSID9696608",,"M-H, M+Cl","C15H20ClN2","35.2","0","-1.58518598041199","78.0372473024747","100 - 17.2 - 33.3 - 5.56 - 0.446","http://nonlinear.com/redirect/outbound?p=chemspider&param=9696608","Vabicaserin hydrochloride","264.138894290064","299.140805571462","1","9.21321666666667","383.668777800112"
"9.15_330.2389n","CSID10128358",,"M+Cl, M+FA-H","C18H34O5","37.2","0","-5.12812989907414","91.69935323641","100 - 20 - 2.93 - 0.32","http://nonlinear.com/redirect/outbound?p=chemspider&param=10128358","9,10-Dihydroxy-11-(3-pentyl-2-oxiranyl)undecanoic acid","330.238937483146","365.208338783146","1","9.15155","17681.8277876397"
"9.15_330.2389n","CSID4446092",,"M+Cl, M+FA-H","C18H34O5","37.2","0","-5.12812989907414","91.69935323641","100 - 20 - 2.93 - 0.32","http://nonlinear.com/redirect/outbound?p=chemspider&param=4446092","9,10,13-Trihydroxy-11-octadecenoic acid","330.238937483146","365.208338783146","1","9.15155","17681.8277876397"
"9.15_330.2389n","CSID8034429",,"M+Cl, M+FA-H","C18H34O5","37.2","0","-5.12812989907414","91.69935323641","100 - 20 - 2.93 - 0.32","http://nonlinear.com/redirect/outbound?p=chemspider&param=8034429","(-)-pinellic acid","330.238937483146","365.208338783146","1","9.15155","17681.8277876397"
"9.12_350.1749n","CSID4444769",,"M-H2O-H, M+Cl","C19H26O6","43.9","33.3","5.67654291005169","92.8638684088003","100 - 21.1 - 3.34 - 0.393","http://nonlinear.com/redirect/outbound?p=chemspider&param=4444769","(3aR,4S,6Z,10Z,11aR)-6,10-Bis(hydroxymethyl)-3-methylene-2-oxo-2,3,3a,4,5,8,9,11a-octahydrocyclodeca[b]furan-4-yl 2-methylpropanoate","350.174930771737","331.157089651737","1","9.11783333333333","Infinity"
"9.12_350.1749n","CSID4444771",,"M-H2O-H, M+Cl","C19H26O6","37.4","0.587","5.67654291005169","92.8638684088003","100 - 21.1 - 3.34 - 0.393","http://nonlinear.com/redirect/outbound?p=chemspider&param=4444771","(3aR,4S,6E,10Z,11aR)-10-(Hydroxymethyl)-6-methyl-3-methylene-2-oxo-2,3,3a,4,5,8,9,11a-octahydrocyclodeca[b]furan-4-yl 3-hydroxy-2-methylpropanoate","350.174930771737","331.157089651737","1","9.11783333333333","Infinity"
"9.13_414.1976n","CSID4593753",,"M-H, M+FA-H","C26H26N2O3","36.4","0","7.95216347147372","91.0751824577468","100 - 29.3 - 4.75 - 0.554","http://nonlinear.com/redirect/outbound?p=chemspider&param=4593753","4,8-Methanobenzofuro(2,3-a)pyrido(4,3-b)carbazole-1,8a(9H)-diol, 7-(cyclopropylmethyl)-5,6,7,8,14,14b-hexahydro-, (4bS,8R,8aS,14bR)-","414.197629741069","459.181954466928","1","9.12665","221.030810029798"
"9.06_404.2678n","CSID28475348",,"M-H, M+Cl","C23H36N2O4","38.7","0","0.810170000882557","94.5533740835029","100 - 26.2 - 4.11 - 0.479","http://nonlinear.com/redirect/outbound?p=chemspider&param=28475348","Eliglustat","404.267844525415","403.260568093415","1","9.05616666666667","4.31686265880807"
"9.01_236.1762n","CSID111731",,"M-H, M+Cl","C15H24O2","37.2","0","-5.98763176173811","92.6229701316046","100 - 16.6 - 1.7 - 0.13","http://nonlinear.com/redirect/outbound?p=chemspider&param=111731","Hernandulcin","236.176213855333","271.154772846599","1","9.0121","2189.63335737486"
"9.01_236.1762n","CSID142224",,"M-H, M+Cl","C15H24O2","37.2","0","-5.98763176173811","92.6229701316046","100 - 16.6 - 1.7 - 0.13","http://nonlinear.com/redirect/outbound?p=chemspider&param=142224","(1R,3R,4S,4aR,6R)-6-Isopropenyl-4,4a-dimethyl-1,2,3,4,4a,5,6,7-octahydro-1,3-naphthalenediol","236.176213855333","271.154772846599","1","9.0121","2189.63335737486"
"9.01_236.1762n","CSID21249201",,"M-H, M+Cl","C15H24O2","37.2","0","-5.98763176173811","92.6229701316046","100 - 16.6 - 1.7 - 0.13","http://nonlinear.com/redirect/outbound?p=chemspider&param=21249201","(3S,10S)-3-Isopropyl-6,10-dimethyl-6-cyclodecene-1,4-dione","236.176213855333","271.154772846599","1","9.0121","2189.63335737486"
