,,,,,,,,,,,,,"Normalised abundance",,,,,,,,"Raw abundance",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"Solvent","SPE Blank","Filter Blank","Hyperalkaline",,"Contact","Alkaline",,"Solvent","SPE Blank","Filter Blank","Hyperalkaline",,"Contact","Alkaline",,,,,,,,,,,
"Compound","Neutral mass (Da)","m/z","Charge","Retention time (min)","Chromatographic peak width (min)","Identifications","Max Fold Change","Highest Mean","Lowest Mean","Isotope Distribution","Maximum Abundance","Minimum CV%","XS1_2017_05_08_LS_001","XS1_2017_07_28_LS_004","XS1_2017_07_28_LS_010","XS1_2017_05_08_LS_002","XS1_2017_05_08_LS_006","XS1_2017_05_08_LS_003","XS1_2017_05_08_LS_004","XS1_2017_05_08_LS_005","XS1_2017_05_08_LS_001","XS1_2017_07_28_LS_004","XS1_2017_07_28_LS_010","XS1_2017_05_08_LS_002","XS1_2017_05_08_LS_006","XS1_2017_05_08_LS_003","XS1_2017_05_08_LS_004","XS1_2017_05_08_LS_005","Accepted Compound ID","Accepted Description","Adducts","Formula","Score","Fragmentation Score","Mass Error (ppm)","Isotope Similarity","Retention Time Error (mins)","Compound Link"
"7.86_376.2433n","376.243279544512","411.212680844512","1","7.85981666666667","0.418316666666667","0","34.3603210895243","Hyperalkaline","Filter Blank","100 - 25.3","151060.290527954","30.77","80329.3426332482","20279.466305964","4396.35852454269","189282.901050852","112837.680005057","132235.768966693","70602.2046275562","109869.606372318","16390.0645723285","777.481217591024","242.860759676425","174522.808498801","173669.61716616","132235.768966693","44303.6258526917","101980.118625508",,,"M-H, M+Cl, M+FA-H",,,,,,,
"8.72_294.1826n","294.182604757894","293.175328325894","1","8.71561666666667","0.148249999999999","0","8.55560508844","Contact","SPE Blank","100 - 25.4 - 8.14 - 1.29 - 0.786","247827.492684661","108.18","185425.654855968","28966.6820900273","41776.0448558332","225523.938957843","14170.1965068667","247827.492684661","38437.2982434757","288600.667822266","37833.4784878188","1110.53471137469","2307.76492256609","207937.806278978","21809.4930913726","247827.492684661","24119.808852295","267876.907105503",,,"M-H, M+Cl, 2M-H",,,,,,,
"8.25_368.2683n","368.268258559725","367.260982127725","1","8.25323333333333","0.471166666666667","0","195.702363524676","Solvent","Alkaline","100 - 41.8 - 7.12 - 1.42","3646523.48896813","10.12","3646523.48896813","3053656.09992914","40285.5632635652","27767.7631417742","32048.1862990426","23116.3623207224","16437.9935806067","20828.0202098537","744021.468239463","117072.127385273","2225.42871414242","25602.4605620874","49325.688415209","23116.3623207224","10315.0138328669","19332.4072222263",,,"M-H, M+FA-H, 2M-H",,,,,,,
"5.64_452.3374n","452.337360066698","487.306761366698","1","5.64336666666667","0.63705","0","Infinity","Contact","SPE Blank","100 - 38.1 - 38.4 - 10.2 - 1.69 - 0.147","1004566.46504177","25.60","55128.2684563159","0","11399.7194193169","439049.695810755","1156163.77759195","1004566.46504177","542477.619261433","782331.869644102","11248.1423367916","0","629.735837697947","404813.036772148","1779463.39048071","1004566.46504177","340410.410751353","726154.388871303",,,"M-H, M+Cl, M+FA-H",,,,,,,
"8.75_360.2503n","360.250296180138","395.219697480138","1","8.75085","0.201099999999999","0","7.07163256218581","Contact","Filter Blank","100 - 28","216154.372813112","5.93","178254.536432918","125440.941069075","30566.4032898083","144934.006526017","27771.6864431469","216154.372813112","153873.202570014","141496.495986091","36370.3133459573","4809.19833523755","1688.52924121128","133632.196703857","42743.6841348014","216154.372813112","96557.0527348178","131335.952882698",,,"M-H, M+Cl, M+FA-H",,,,,,,
"9.02_362.2661n","362.266134355203","361.258857923203","1","9.02091666666667","0.149800000000001","0","61.8963092429965","Alkaline","SPE Blank","100 - 23.1 - 3.87","264266.025516643","12.55","24081.6021552853","4269.49568962457","39580.9349992101","159887.873933574","11045.8396598455","224119.722288407","287722.787501323","240809.263531963","4913.50982582156","163.685407553981","2186.50410082541","147419.976389167","17000.7637955528","224119.722288407","180549.074834086","223517.295382777",,,"M-H, M+Cl, M+FA-H",,,,,,,
"8.73_334.1980n","334.198042332306","333.190765900306","1","8.73323333333333","0.165866666666666","0","9.16605048850237","Hyperalkaline","Filter Blank","100 - 27.4 - 12.1 - 1.98","245643.831072496","21.10","125011.358085292","98492.4902121296","26799.3102787972","367585.973031137","123701.689113855","99830.9895819906","33850.3952717832","45724.0199408799","25506.7969452593","3776.03927334016","1480.4299551047","338921.984088377","190390.523717324","99830.9895819906","21241.4790019386","42440.6815639678",,,"M-H, M+Cl, 2M-H",,,,,,,
"9.59_446.3619n","446.361928292827","481.331329592827","1","9.58901666666667","1.50165","0","48.7099874924235","Solvent","Contact","100 - 41.7 - 42.5 - 2.56 - 1.1","6487424.70239988","25.71","6487424.70239988","397814.233545293","611597.020420464","124898.954454851","540544.782465661","133184.692429021","182422.610410475","126293.929562819","1323667.12206161","15251.5401542334","33785.4422395184","115159.45808633","831957.954362137","133184.692429021","114472.106378709","117225.048343697",,,"M-H, M+Cl, M+FA-H",,,,,,,
"9.34_390.2938n","390.293769095917","425.263170395917","1","9.33503333333333","0.384600000000001","0","71.7838440887901","Contact","SPE Blank","100 - 32.6","199396.783298763","32.57","20596.2230060026","2777.73900004752","101623.739340762","72642.5450681775","9616.9351036541","199396.783298763","128426.626854702","205289.265245263","4202.36757763208","106.493921848026","5613.83208391166","66977.951581549","14801.5223078724","199396.783298763","80589.0588786687","190547.907774521",,,"M-H, M+Cl, M+FA-H",,,,,,,
"0.29_388.0198n","388.019773367","387.025856241456","1","0.291433333333333","0.14825","0","Infinity","Filter Blank","Solvent","100 - 22.6 - 1.21","451871.196794418","17.97","0","0","451871.196794418","21698.5433455101","28014.9847672296","45996.2372796077","79963.1982715311","52819.8500183052","0","0","24961.9728502017","20006.5124951463","43118.1470517873","45996.2372796077","50177.7478039802","49026.9761447464",,,"M-H, M+FA-H, 2M-H",,,,,,,
