"mz" "Retention_Time" "NSHQ.14" "WAB.71" "WAB.104" "WAB.105" "WAB.55" "classifier"
111.098621254245 148.982 7.64810792234158 8.39550317445755 0 0 0 "WAB.71"
405.445035438677 326.006 4.33844952431343 8.69095842492083 0 0 0 "WAB.71"
170.996790751084 334.901 0 9.94705835856732 0 2.63686370801953 0 "WAB.71"
449.340834269473 345.911 2.03000451230168 8.66563518057248 0 0 0 "WAB.71"
241.198630701947 432.838 4.97417046936591 8.49485109631792 0 0 0 "WAB.71"
265.319537717937 462.694 0 9.14340514264341 0 0 0 "WAB.71"
455.45026682763 490.965 0 9.31698503306927 0 0 0 "WAB.71"
249.269446304014 497.838 9.39002731234053 9.3429430462524 0 0 0 "NSHQ.14"
367.432338795892 501.446 0 9.27369815118091 0 0 0 "WAB.71"
367.370259629123 501.975 0 8.73738344317073 0 0 0 "WAB.71"
367.433716023888 508.319 0 8.47353637612379 0 0 0 "WAB.71"
439.51594863934 519.765 0 9.87480725878366 0 0 0 "WAB.71"
263.342008892546 525.051 7.5356155700372 5.35886418201272 0 0 0 "NSHQ.14"
409.664777431647 527.166 0 10.1859858809813 0 0 0 "WAB.71"
410.433198414112 530.245 0 10.5484200467662 0 0 0 "WAB.71"
423.373108493543 533.946 0 10.3793326183033 4.79677559610131 0 0 "WAB.71"
251.57789496975 533.946 0 9.71349322604446 0 0 0 "WAB.71"
423.511523944214 533.946 0 9.67180932887462 0 0 0 "WAB.71"
209.199961033825 535.003 8.25122024726861 4.69018802547648 0 0 0 "NSHQ.14"
209.347506485179 535.003 7.53067830628036 0 0 0 0 "NSHQ.14"
423.409021989143 540.726 0 10.6214633081387 0 0 0 "WAB.71"
237.240033640476 547.07 9.6534822587884 10.8863923050568 0 0 0 "WAB.71"
267.319080828751 548.128 5.12808811097411 9.45605338153424 0 0 0 "WAB.71"
267.371774982592 548.128 5.33548350746621 8.87711304502158 0 0 0 "WAB.71"
267.258328446949 549.093 7.93479370042239 10.0103896239778 0 0 0 "WAB.71"
395.509318769116 549.093 0 8.75040772364716 0 0 0 "WAB.71"
285.42319040694 550.15 7.80035931358855 0 0 0 0 "NSHQ.14"
311.358935613084 551.207 0 10.2787674159764 0 0 0 "WAB.71"
311.416044105056 551.207 4.77430603986341 9.5292400346074 0 0 0 "WAB.71"
355.398448717118 552.265 0 10.152040303982 0 0 0 "WAB.71"
251.258737605878 552.793 9.59601454629225 10.1745940980752 0 0 0 "WAB.71"
251.371756952616 552.793 9.27745268266598 9.2005398440762 0 0 0 "NSHQ.14"
443.546299591519 553.851 0 8.50194042029975 0 0 0 "WAB.71"
281.277265382706 554.379 8.37788717872847 10.5958423075866 0 0 0 "WAB.71"
487.435108135454 554.379 0 9.06051248305661 0 0 0 "WAB.71"
281.337077867261 554.379 5.91043931277282 10.1775840080875 0 0 0 "WAB.71"
325.37641429614 555.965 0 10.9439836044133 0 0 0 "WAB.71"
326.385858287012 556.494 0 8.89287315289364 0 0 0 "WAB.71"
291.298669925139 556.494 8.86687674101877 0 0 0 0 "NSHQ.14"
323.331992394945 557.023 8.02522265101822 0 0 0 0 "NSHQ.14"
370.488242786017 557.551 0 8.66371910814198 0 0 0 "WAB.71"
369.417069583017 557.551 0 10.908371385099 0 0 0 "WAB.71"
369.645303648033 557.551 0 8.42308300757491 0 0 0 "WAB.71"
457.420191159639 558.08 0 10.329710423671 0 0 0 "WAB.71"
501.5379685115 558.08 0 8.94938791579636 0 0 0 "WAB.71"
457.499035226259 558.08 0 9.79077720171856 0 0 0 "WAB.71"
295.415389940836 559.045 5.76001697146127 9.05685206034853 0 0 0 "WAB.71"
340.465777088683 559.574 0 8.47198870011087 0 0 0 "WAB.71"
339.397069837015 559.574 0 10.3926338690675 0 0 0 "WAB.71"
340.4063980871 559.574 0 8.47475184844615 0 0 0 "WAB.71"
383.669579397123 560.631 0 8.18436880648618 0 0 0 "WAB.71"
427.543986308682 561.16 0 10.0197281076908 0 0 0 "WAB.71"
427.477085386541 561.16 0 10.4878513703104 0 0 0 "WAB.71"
471.586035554734 561.688 0 9.31299347773726 0 0 0 "WAB.71"
515.627892795843 562.217 0 8.66442153750091 0 0 0 "WAB.71"
319.521409387317 562.746 8.84372514117068 0 2.03490951540153 0 0 "NSHQ.14"
323.332032348048 565.389 0 7.90074778783744 0 0 0 "WAB.71"
293.382367203403 566.446 0 7.9836333089418 0 0 0 "WAB.71"
549.534475569733 571.641 0 9.88975278801343 0 0 0.0547251290836503 "WAB.71"
651.618851601413 572.169 0 8.64263875404797 0 0 0 "WAB.71"
549.626839014632 572.169 0 8.38707209814845 0 0 0 "WAB.71"
